Ct OIII SII NII OII Ha Hb
0 1.4871E+34 3.6822E+33 1.8246E+34 8.9313E+33 2.4235E+34 8.6859E+33
1 3.8780E+33 4.6630E+31 2.0380E+32 1.5024E+32 2.2684E+33 8.2673E+32
2 6.7983E+33 1.4769E+32 7.4779E+32 5.0289E+32 4.5011E+33 1.6329E+33
3 5.0991E+35 1.4298E+35 4.9386E+34 3.5628E+35 6.1843E+35 2.1970E+35
4 8.8937E+33 2.7132E+32 1.5086E+33 9.6037E+32 6.5054E+33 2.3565E+33
5 7.0575E+34 4.2758E+32 1.1138E+32 1.2865E+33 5.5402E+34 1.9919E+34
6 1.3739E+35 1.7528E+33 4.6943E+32 4.7656E+33 1.2292E+35 4.3742E+34
7 1.1110E+34 4.8453E+32 2.9515E+33 1.7783E+33 9.2115E+33 3.3329E+33
8 1.2592E+34 7.2518E+32 4.6709E+33 2.7102E+33 1.1648E+34 4.2115E+33
9 1.8436E+35 3.3141E+33 9.3019E+32 8.8941E+33 1.7374E+35 6.1681E+34
10 2.4024E+35 5.9726E+33 1.7909E+33 1.6300E+34 2.3415E+35 8.3033E+34
11 1.3727E+34 1.0520E+33 7.0129E+33 3.9396E+33 1.4320E+34 5.1738E+33
12 1.4329E+34 1.3866E+33 9.2968E+33 5.1090E+33 1.6545E+34 5.9737E+33
13 3.0279E+35 1.0248E+34 3.3341E+33 2.9293E+34 2.9953E+35 1.0619E+35
14 3.6672E+35 1.6741E+34 5.9663E+33 5.1115E+34 3.6469E+35 1.2933E+35
15 1.4650E+34 1.7533E+33 1.1577E+34 6.2469E+33 1.8563E+34 6.6971E+33
16 4.2454E+35 2.6166E+34 1.0222E+34 8.5643E+34 4.2586E+35 1.5111E+35
17 1.4841E+34 2.4056E+33 1.4930E+34 7.8176E+33 2.1380E+34 7.6998E+33
18 4.7151E+35 4.0660E+34 1.7254E+34 1.4046E+35 4.8532E+35 1.7234E+35
19 5.0200E+35 6.7419E+34 2.9716E+34 2.3162E+35 5.4888E+35 1.9509E+35
20 4.1196E+33 7.5333E+32 6.6741E+33 2.2810E+33 2.4989E+34 8.8715E+33
21 1.1953E+33 1.1547E+31 8.5188E+31 5.1852E+31 2.2116E+33 8.0553E+32
22 2.0841E+33 3.7379E+31 3.2497E+32 1.7887E+32 4.5532E+33 1.6485E+33
23 2.8508E+33 7.9624E+31 7.8850E+32 3.9804E+32 7.3247E+33 2.6449E+33
