Ct OIII SII NII OII Ha Hb
0 2.4085E+33 1.5217E+33 4.1795E+34 4.4234E+33 3.9910E+34 1.4383E+34
1 6.6485E+33 5.5191E+33 1.5218E+33 1.6744E+34 3.9602E+34 1.4293E+34
2 1.6926E+33 1.7601E+33 4.5211E+34 2.1884E+33 4.2775E+34 1.5156E+34
3 5.7606E+33 4.9460E+33 1.3423E+34 1.3299E+34 4.0758E+34 1.4674E+34
4 1.7107E+33 2.8924E+33 6.5478E+34 2.8060E+33 5.7477E+34 2.0337E+34
5 6.4150E+33 5.2932E+33 4.6125E+33 1.5687E+34 3.9554E+34 1.4267E+34
6 4.1431E+33 3.4553E+33 2.9454E+34 7.5819E+33 4.0355E+34 1.4458E+34
7 5.5212E+33 8.0906E+33 2.0781E+33 1.2060E+34 4.2835E+34 1.5236E+34
8 1.6818E+33 3.5333E+33 2.7338E+34 2.6585E+33 4.4623E+34 1.5682E+34
9 3.8850E+33 6.2203E+33 1.5670E+34 7.4003E+33 4.3791E+34 1.5512E+34
10 5.0667E+33 7.5434E+33 6.1011E+33 1.0640E+34 4.3000E+34 1.5278E+34
11 5.6185E+33 1.4264E+34 3.2139E+33 1.7137E+34 5.7535E+34 2.0457E+34
12 1.1765E+32 1.1023E+33 2.4754E+34 2.7067E+32 4.8890E+34 1.6866E+34
13 1.7080E+33 5.9173E+33 4.0596E+34 3.6338E+33 5.8798E+34 2.0654E+34
14 3.9425E+33 1.0181E+34 2.2849E+34 9.9421E+33 5.6961E+34 2.0167E+34
15 5.1531E+33 1.3134E+34 9.3402E+33 1.4951E+34 5.7514E+34 2.0427E+34
16 1.2083E+32 1.9340E+33 3.8704E+34 4.2167E+32 6.2807E+34 2.1689E+34
17 1.7091E+33 8.0385E+33 5.1175E+34 4.3960E+33 6.9935E+34 2.4560E+34
18 1.2095E+32 2.7548E+33 5.1125E+34 5.5812E+32 7.4697E+34 2.5811E+34
19 1.6705E+31 9.5034E+32 5.9758E+33 7.9975E+31 5.3952E+34 1.8236E+34
20 1.2096E+32 3.8319E+33 6.6193E+34 7.3655E+32 8.7613E+34 3.0293E+34
21 5.8201E+32 5.0440E+33 1.1259E+33 1.6970E+33 4.7969E+34 1.6617E+34
22 6.8752E+29 1.1985E+32 2.1024E+33 1.9106E+30 6.1424E+34 2.0227E+34
23 4.3042E+32 4.3543E+33 3.0326E+33 1.2734E+33 4.8621E+34 1.6808E+34
24 1.7206E+32 2.9063E+33 6.1661E+33 5.7380E+32 5.0797E+34 1.7452E+34
25 1.7352E+31 1.7259E+33 9.9755E+33 1.4510E+32 6.5299E+34 2.2130E+34
26 5.9660E+32 9.1320E+33 1.8214E+33 2.7433E+33 6.1783E+34 2.1428E+34
27 6.9144E+29 2.5566E+32 4.1448E+33 4.4267E+30 7.4830E+34 2.4757E+34
28 4.4123E+32 7.8172E+33 4.8827E+33 2.0636E+33 6.2163E+34 2.1516E+34
29 5.9712E+32 1.3436E+34 2.4838E+33 3.7834E+33 7.3778E+34 2.5609E+34
30 1.7627E+32 4.8350E+33 9.3826E+33 8.9755E+32 6.2075E+34 2.1356E+34
31 1.7396E+31 3.0693E+33 1.6239E+34 2.5958E+32 8.0310E+34 2.7288E+34
32 4.4167E+32 1.2361E+34 7.0638E+33 3.0507E+33 7.6463E+34 2.6493E+34
33 6.9174E+29 4.6436E+32 7.0243E+33 9.1407E+30 8.7578E+34 2.9077E+34
34 1.7656E+32 8.0077E+33 1.4169E+34 1.4128E+33 7.7037E+34 2.6541E+34
35 1.7399E+31 4.5233E+33 2.2493E+34 3.9570E+32 9.1968E+34 3.1303E+34
36 6.9179E+29 7.8643E+32 1.1171E+34 1.8362E+31 9.9541E+34 3.3142E+34
37 1.7657E+32 1.1464E+34 1.8972E+34 2.0082E+33 8.9256E+34 3.0784E+34
38 1.7399E+31 6.6497E+33 3.1036E+34 6.2125E+32 1.0401E+35 3.5462E+34
39 6.9180E+29 1.2899E+33 1.7248E+34 3.6991E+31 1.1065E+35 3.6930E+34
40 6.9180E+29 2.0817E+33 2.6123E+34 7.4947E+31 1.2057E+35 4.0324E+34
41 6.9180E+29 3.3600E+33 3.8556E+34 1.4590E+32 1.2870E+35 4.3114E+34
42 3.9821E+33 4.0489E+33 3.5468E+33 1.7135E+34 1.1593E+35 4.1892E+34
43 1.4350E+33 1.3435E+33 1.1847E+33 5.9726E+33 1.1623E+35 4.1969E+34
44 3.8502E+33 4.3995E+32 6.5216E+32 5.4485E+33 3.4550E+34 1.2621E+34
45 3.9800E+33 8.2063E+32 1.1129E+33 7.7188E+33 4.7185E+34 1.7207E+34
